Item,EDID,Upload as (filename),Likely source,Note
Accordion,ATX_Furniture_Instrument_Accordion,atx_entm_camp_furniture_instrument_accordion.avif,Lookbook dump,Atom Shop item — tile should be in .../textures/atx/storefront
American Bowling Alley Lane,ATX_Structure_Furniture_BowlingAlleyLane_Americana,atx_tp_structure_furniture_bowlingalleylane_americana.avif,Lookbook dump,Atom Shop item — tile should be in .../textures/atx/storefront
Astro Attack Pinball Machine,ATX_Furniture_GameCabinet_AstroAttack,atx_camp_furniture_gamecabinet_astroattack.avif,Lookbook dump,Atom Shop item — tile should be in .../textures/atx/storefront
Atomic Hair Dryer,ATX_Structure_Furniture_AtomicDryer,atx__structure_furniture_atomicdryer.avif,Lookbook dump,Atom Shop item — tile should be in .../textures/atx/storefront
Atomic Roller Machine,ATX_Furniture_Atomicroller,atx_camp_furniture_atomicroller.avif,Lookbook dump,Atom Shop item — tile should be in .../textures/atx/storefront
Blood Transfusion Pump,ATX_FloorDecor_BloodTransfusionPump,atx_entm_camp_floordecor_bloodtransfusionpump.avif,Lookbook dump,Atom Shop item — tile should be in .../textures/atx/storefront
Boardwalk Bonanza Pinball Machine,ATX_Furniture_BoardwalkBonanzaPinballMachine,atx_entm_camp_furniture_boardwalkbonanzapinballmachine.avif,Lookbook dump,Atom Shop item — tile should be in .../textures/atx/storefront
Bowling Alley Lane,ATX_Structure_Furniture_BowlingAlleyLane,atx_structure_furniture_bowlingalleylane.avif,Lookbook dump,Atom Shop item — tile should be in .../textures/atx/storefront
Bowling Arcade Machine,ATX_Furniture_BowlingArcadeMachine,atx_entm_camp_furniture_bowlingarcademachine.avif,Lookbook dump,Atom Shop item — tile should be in .../textures/atx/storefront
Drum Set,ATX_Instrument_DrumSet,atx_camp_furniture_instrument_drumset.avif,Lookbook dump,Atom Shop item — tile should be in .../textures/atx/storefront
Five Finger Filet Table,ATX_FloorDecor_FiveFingerFiletTable,atx_entm_camp_floordecor_fivefingerfilettable.avif,Lookbook dump,Atom Shop item — tile should be in .../textures/atx/storefront
Green 9 Ball Table,ATX_9BallTable_C_Green,atx_camp_furniture_table_special_9balltable_c_green.avif,Lookbook dump,Atom Shop item — tile should be in .../textures/atx/storefront
Hambone Stool,ATX_Instrument_Hambone,atx_camp_furniture_instrument_hambonechair.avif,Lookbook dump,Atom Shop item — tile should be in .../textures/atx/storefront
Motorcycle,ATX_Furniture_Motorcycle,atx_camp_floordecor_motorcycle.avif,Lookbook dump,Atom Shop item — tile should be in .../textures/atx/storefront
Radiation Glove Box,ATX_RadiationGloveBox,score_s10_camp_utility_radiation_glove_box.avif,Lookbook dump,Atom Shop item — tile should be in .../textures/atx/storefront
Raider Speed Bag,ATX_CAMP_FloorDecor_ExerciseEquipment_Speed_Bag_RaiderSpeedBag,atx_camp_floordecor_exerciseequipment_raiderspeedbag.avif,Lookbook dump,Atom Shop item — tile should be in .../textures/atx/storefront
Red 9 Ball Table,ATX_F1_9BallTable_Red,atx_f1_camp_furniture_table_special_9balltable_red.avif,Lookbook dump,Atom Shop item — tile should be in .../textures/atx/storefront
Resonator Guitar,ATX_Instrument_ResonatorGuitar,atx_camp_furniture_instrument_resonatorguitar.avif,Lookbook dump,Atom Shop item — tile should be in .../textures/atx/storefront
Resonator Guitar B,ATX_Instrument_ResonatorGuitar_B,atx_camp_furniture_instrument_resonatorguitar.avif,Lookbook dump,Atom Shop item — tile should be in .../textures/atx/storefront
Rolling Stars Bowling Arcade Machine,ATX_Furniture_BowlingArcadeMachine_RollingStars,atx_camp_furniture_bowlingarcademachine_rollingstars.avif,Lookbook dump,Atom Shop item — tile should be in .../textures/atx/storefront
Rustic 9 Ball Table,ATX_9BallTable_Rustic_HandmadePoolTable,atx_camp_furniture_table_special_9balltable_rustic_handmadepooltable.avif,Lookbook dump,Atom Shop item — tile should be in .../textures/atx/storefront
Rusty Saxophone,MILE_Workshop_Instrument_Saxophone,mile_workshop_instrument_saxophone.avif,Lookbook dump,Milepost / Atom item
Sharpening Stone,ATX_Utility_Sharpening,atx_entm_camp_utility_sharpening.avif,Lookbook dump,Atom Shop item — tile should be in .../textures/atx/storefront
Shoeshine Machine,ATX_Furniture_ShoeshineMachine,atx_entm_camp_furniture_shoeshinemachine.avif,Lookbook dump,Atom Shop item — tile should be in .../textures/atx/storefront
Skull Drum Set,ATX_Instrument_SkullDrumSet,atx_camp_furniture_instrument_drumset_skull.avif,Lookbook dump,Atom Shop item — tile should be in .../textures/atx/storefront
Skulls Fire Pitt,ATX_Furniture_SkullsFirePitt,atx_entm_camp_furniture_skullsfirepitt.avif,Lookbook dump,Atom Shop item — tile should be in .../textures/atx/storefront
Stargazer's Telescope,MILE_StargazerTelescope,mile_stargazertelescope.avif,Lookbook dump,Milepost / Atom item
Stars and Strikes Bowling Arcade Machine,ATX_Furniture_BowlingArcadeMachine_StarsAndStrikes,atx_camp_furniture_bowlingarcademachine_starsandstrikes.avif,Lookbook dump,Atom Shop item — tile should be in .../textures/atx/storefront
Summoning Circle,ATX_Furniture_SummoningCircle,atx_entm_camp_floordecor_summoningcircle.avif,Lookbook dump,Atom Shop item — tile should be in .../textures/atx/storefront
Vault Girl Arm Wrestle Machine,ATX_ArmWrestleMachine_VaultGirl,atx_camp_utility_armwrestlemachine_vaultgirl.avif,Lookbook dump,Atom Shop item — tile should be in .../textures/atx/storefront
Vault-Tec Pinball Machine,ATX_Furniture_VaultTecPinballMachine,atx_camp_furniture_vaulttecpinballmachine.avif,Lookbook dump,Atom Shop item — tile should be in .../textures/atx/storefront
Wood 9 Ball Table,ATX_9BallTable_D_WoodGreen,atx_camp_furniture_table_special_9balltable_d_woodgreen.avif,Lookbook dump,Atom Shop item — tile should be in .../textures/atx/storefront
Xylophone,ATX_Instrument_Xylophone,atx_camp_furniture_instrument_xylophone.avif,Lookbook dump,Atom Shop item — tile should be in .../textures/atx/storefront
Lethal Loveseat,SCORE_MiniSeason_LoveHurts_Furniture_BuffFurniture_LethalSeat,score_miniseason_lovehurts_camp_furniture_chair_lethalseat.avif,Mini-season dump,Recent mini-season item — may not be in a dump yet
Rip Daring Vault Boy Statue,SCORE_MiniSeason_2026_WeaponsExpert_RipBoyStatue,score_miniseason_2026_weaponsexpert_camp_furniture_ripboystatue.avif,Mini-season dump,Recent mini-season item — may not be in a dump yet
Scarberry’s Shrine,SCORE_S12_CAMP_Scarberry_Shrine_FURN,score_s12_camp_scarberry_shrine_furn.avif,Season 12 dump,Scoreboard reward — season 12 storefront texture
Blue 9 Ball Table,SCORE_S15_9BallTable_B_Blue,atx_camp_furniture_table_special_9balltable_b_blue.avif,Season 15 dump,Scoreboard reward — season 15 storefront texture
Chemical Barrel Drum (Blue),SCORE_S20_Instrument_ChemicalBarrelDrum_Blue,score_s20_instrument_chemicalbarreldrum_blue.avif,Season 20 dump,Scoreboard reward — season 20 storefront texture
Radioactive Barrel Drum,SCORE_S20_Instrument_MetalBarrelDrum_Radioactive,score_s20_instrument_metalbarreldrum_radioactive.avif,Season 20 dump,Scoreboard reward — season 20 storefront texture
Camden Park Claw Machine,Score_S25_Furniture_CamdenClawMachine,score_s25_camp_furniture_clawmachine.avif,Season 25 dump,Scoreboard reward — season 25 storefront texture
Antique Speed Bag,SCORE_S3_Antique_Speed_Bag,atx_camp_floordecor_exerciseequipment_antiquespeedbag.avif,Season 3 dump,Scoreboard reward — season 3 storefront texture
