FormID	EDID	FULL	Kind	DESC	QuestType	Flags	Priority	Location	StageCount	ObjectiveCount	AliasCount	Scripts	FragmentFile	GMRWRefs	SourceFile
00036191	FF01_DeathBlossoms	Activity: Death Blossoms	Activity	Protect blossoming corpse flowers from the frenzied creatures of the forest.	Event	Warn on Alias Fill Failed ; Has Dialogue Data ; Unique Instance ; Always Tracked ; Saves Completion ; Uses Custom Expire Time ; Not Autotracked ; Kick All Players From Instance on Shutdown	60		13	7	21	DefaultEventQuest ; defaultgamedayspassedglobalsscript ; defaultquestemergencybroadcastscript ; defaultquestencounterwavescript ; DefaultQuestRemovePlayersScript ; DefaultQuestSetStageOnTimerScript ; FF01_DeathBlossoms_QuestScript ; TutorialEventQuestScript	fragments:quests:qf_ff_small01_00036191	00631221:QuestReward_FF01_DeathBlossoms_Stage1000_01:GMRW ; 00631222:QuestReward_FF01_DeathBlossoms_Stage1500_01:GMRW	SeventySix.esm
000364D0	MTNS06_Uranium	Event: Uranium Fever	Event	Protect Uranium Extractors while they collect valuable nuclear material.	Public Event	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Unique Instance ; Always Tracked ; Saves Completion ; Uses Custom Expire Time ; Not Autotracked	60		16	9	35	DefaultEventQuest ; DefaultQuestRemovePlayersScript ; mtns06questscript ; MTNS06_WaveScript	fragments:quests:qf_mtns06_uranium_000364d0	00631294:QuestReward_MTNS06_Uranium_Stage300_01:GMRW ; 00631295:QuestReward_MTNS06_Uranium_Stage325_01:GMRW	SeventySix.esm
000364D1	MTNS06_Uranium_Misc	Event: Uranium Fever	Event	Protect Uranium Extractors while they collect valuable nuclear material	Miscellaneous	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Unique Instance ; Always Tracked ; Uses Custom Expire Time ; Not Autotracked	30		2	1	5	MTNS06MiscQuestScript	Fragments:Quests:QF_MTNS06_Uranium_Misc_000364D1		SeventySix.esm
00042F7E	MTR08_Lode	Event: Lode Baring	Event	Plunder the mine for wealth before it collapses.	Public Event	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Unique Instance ; Always Tracked ; Saves Completion ; Uses Custom Expire Time ; Not Autotracked	50		18	10	114	DefaultEventQuest ; defaultquestencounterwavescript ; MTR08_MineScript	fragments:quests:qf_mtr08_lode_00042f7e	006312A8:QuestReward_MTR08_Lode_Stage100_01:GMRW	SeventySix.esm
000451FC	SFZ03_Queen	Daily: Queen of the Hunt	Daily	Hunt down the cryptid before it disappears.	Daily	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Saves Completion ; Can Be Rejected When Active ; Uses Custom Expire Time ; Not Autotracked	50		28	8	26	DefaultDailyQuestScript ; defaultquestencounterwavescript ; DefaultQuestRemovePlayersScript ; GQ_MiscRegionPointerCompletionScript ; SFZ03_Queen_QuestScript	Fragments:Quests:QF_SFZ03_Queen_000451FC	006312F8:QuestReward_SFZ03_Queen_Stage1000_01:GMRW	SeventySix.esm
0004695C	FF08_ProjectBeanstalk	Activity: Project Beanstalk	Activity	Protect Pharmabot JD-7E while he maintains the fields!	Event	Allow Repeat Stages ; Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Unique Instance ; Always Tracked ; Saves Completion ; Uses Custom Expire Time ; Not Autotracked ; Kick All Players From Instance on Shutdown	50		19	8	16	DefaultEventQuest ; defaultquestencounterwavescript ; DefaultQuestRemovePlayersScript ; FF08_BeanstalkQuest ; TutorialEventQuestScript	fragments:quests:qf_ff08_projectbeanstalk_0004695c	0063122A:QuestReward_FF08_ProjectBeanstalk_Stage55_01:GMRW	SeventySix.esm
0004695D	FFZ13_StrangeBrew	Daily: Strange Brew	Daily	Gather ingredients for a very special tea.	Daily	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Saves Completion ; Can Be Rejected When Active ; Uses Custom Expire Time ; Not Autotracked	50		13	4	36	DefaultDailyQuestScript ; DefaultQuestRemovePlayersScript ; ffz13_questscript	Fragments:Quests:QF_FFZ13_StrangeBrew_0004695D	00631232:QuestReward_FFZ13_StrangeBrew_Stage90_01:GMRW	SeventySix.esm
000490B6	SFZ14_Bomb	Daily: Idle Explosives	Daily	Locate inert bombs for Boomer.	Daily	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Saves Completion ; Can Be Rejected When Active ; Uses Custom Expire Time ; Not Autotracked	50		13	4	18	DefaultDailyQuestScript ; DefaultQuestRemovePlayersScript ; SFZ14_Bomb_QuestScript	Fragments:Quests:QF_SFZ14_Bomb_000490B6	006312FB:QuestReward_SFZ14_Bomb_Stage1000_01:GMRW	SeventySix.esm
0004A357	FFZ17_TeaTime	Event: Tea Time	Event	Defend the Giant Teapot boiler pipes from the attacking creatures!	Public Event	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Unique Instance ; Always Tracked ; Saves Completion ; Uses Custom Expire Time ; Not Autotracked	50		20	7	32	DefaultEventQuest ; defaultquestemergencybroadcastscript ; defaultquestencounterwavescript ; DefaultQuestRemovePlayersScript ; FFZ17_TeaTimeQuest ; Quests:RA:SpawnPartyCrasher ; TutorialEventQuestScript	fragments:quests:qf_ffz17_teatime_0004a357	00631235:QuestReward_FFZ17_TeaTime_Stage1000_01:GMRW ; 00631236:QuestReward_FFZ17_TeaTime_Stage630_01:GMRW	SeventySix.esm
0004E257	MTNM04_Guest	Event: Distinguished Guests	Event	Help Mr. Billingsley set up for his Halloween gala.	Public Event	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Unique Instance ; Always Tracked ; Saves Completion ; Uses Custom Expire Time ; Not Autotracked	0		26	13	71	DefaultEventQuest ; defaultquestencounterwavescript ; DefaultQuestRemovePlayersScript ; MTNM04QuestScript ; Quests:RA:SpawnPartyCrasher	fragments:quests:qf_mtnm04_guest_0004e257	0063128A:QuestReward_MTNM04_Guest_Stage500_01:GMRW ; 0063128B:QuestReward_MTNM04_Guest_Stage550_01:GMRW	SeventySix.esm
00056895	TestTrevorEvent01	Event: Barnyard Brawl	Event	There's something bad in the barn...	None	Run Once ; Exclude from dialogue export ; Warn on Alias Fill Failed ; Has Dialogue Data ; Unique Instance ; Always Tracked ; Not Autotracked	50		4	2	7	DefaultEventQuest	Fragments:Quests:QF_TestTrevorEvent01_00056895		SeventySix.esm
0005A243	TW043	Activity: Patrol Duty	Activity	Assist the Warden and his men with their rounds.	Event	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Unique Instance ; Always Tracked ; Saves Completion ; Uses Custom Expire Time ; Not Autotracked ; Kick All Players From Instance on Shutdown	30	LocToxicEasternRegionalPenLocation "Eastern Regional Penitentiary" [LCTN:000158E5]	33	5	23	DefaultEventQuest ; defaultquestencounterwavescript ; DefaultQuestRemovePlayersScript ; TW043QuestScript	fragments:quests:qf_tw043patrol_0005a243	0063132A:QuestReward_TW043_Stage170_01:GMRW ; 0063132B:QuestReward_TW043_Stage230_01:GMRW ; 0063132C:QuestReward_TW043_Stage60_01:GMRW	SeventySix.esm
00065DFE	BoSZ04	Daily: Heart of the Enemy	Daily	The key to ultimately defeating the Scorchbeasts may lie in their very DNA.	Daily	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Saves Completion ; Can Be Rejected When Active ; Uses Custom Expire Time ; Not Autotracked	50		14	8	12	DefaultDailyQuestScript ; DefaultQuestRemovePlayersScript ; SQ_ScorchbeastMasterScript	Fragments:Quests:QF_BoSZ04_00065DFE	006311B0:QuestReward_BoSZ04_Stage500_01:GMRW ; 006311B1:QuestReward_BoSZ04_Stage95_01:GMRW	SeventySix.esm
0006A378	MTR05_Mother_Breach	Activity: Breach and Clear	Activity	Clear the work site, then grab as much as you can carry.	Event	Run Once ; Has Dialogue Data ; Unique Instance ; Always Tracked ; Saves Completion ; Uses Custom Expire Time ; Not Autotracked ; Kick All Players From Instance on Shutdown	50		27	5	34	DefaultEventQuest ; defaultquestencounterwavescript ; MTR05_BreachQuestScript	fragments:quests:qf_mtr05_mother_breach_0006a378	006312A1:QuestReward_MTR05_Mother_Breach_Stage200_01:GMRW	SeventySix.esm
00088A9A	zzz_TWZ09	Event: Dogwood Die Off	Event	Save the bleach dogwoods.	Event	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Unique Instance ; Always Tracked ; Uses Custom Expire Time ; Not Autotracked ; Disable Event Announcement ; Kick All Players From Instance on Shutdown	60		12	4	29	DefaultEventQuest ; defaultquestemergencybroadcastscript ; defaultquestencounterwavescript ; defaultquestonaddplayersaddtoalias ; DefaultQuestRemovePlayersScript ; TWZ09_Script	fragments:quests:qf_twz09_00088a9a	00631333:zzz_QuestReward_TWZ09_Stage1000_01:GMRW	SeventySix.esm
0009210E	FF06_Feed	Event: Feed the People	Event	Defend the canning machines at Mama Dolce's to earn a tasty reward!	Public Event	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Unique Instance ; Always Tracked ; Saves Completion ; Uses Custom Expire Time ; Not Autotracked	60		28	15	44	DefaultEventQuest ; defaultgamedayspassedglobalsscript ; defaultquestemergencybroadcastscript ; defaultquestencounterwavescript ; DefaultQuestRemovePlayersScript ; ff06_feed_questscript ; TutorialEventQuestScript	Fragments:Quests:QF_FF06_Feed_0009210E	00631226:QuestReward_FF06_Feed_Stage1000_01:GMRW ; 00631227:QuestReward_FF06_Feed_Stage1500_01:GMRW ; 00631228:QuestReward_FF06_Feed_Stage725_01:GMRW ; 00631229:QuestReward_FF06_Feed_Stage728_01:GMRW	SeventySix.esm
00093187	SFS08_Heart	Event: Heart of the Swamp	Event	Destroy the infested heart of the swamp before it spreads.	Public Event	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Unique Instance ; Always Tracked ; Saves Completion ; Uses Custom Expire Time ; Not Autotracked	90		24	7	33	DefaultEventQuest ; defaultgamedayspassedglobalsscript ; defaultquestemergencybroadcastscript ; defaultquestencounterwavescript ; DefaultQuestRemovePlayersScript ; DefaultQuestSetStageOnTimerScript ; SFS08_Heart_QuestScript	fragments:quests:qf_sfs08_heart_00093187	006312F6:QuestReward_SFS08_Heart_Stage1000_01:GMRW	SeventySix.esm
00095360	FFZ11_Pack	Activity: Leader of the Pack	Activity	Hunt wolf packs in the forest.	Event	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Unique Instance ; Saves Completion ; Uses Custom Expire Time ; Not Autotracked ; Kick All Players From Instance on Shutdown	60		8	4	19	DefaultEventQuest ; defaultgamedayspassedglobalsscript ; defaultquestemergencybroadcastscript ; DefaultQuestSetStageOnTimerScript ; FFZ11_Pack_QuestEpicCreatureScript ; TutorialEventQuestScript	fragments:quests:qf_ffz11_pack_00095360	00631230:QuestReward_FFZ11_Pack_Stage1000_01:GMRW ; 00631231:QuestReward_FFZ11_Pack_Stage1500_01:GMRW	SeventySix.esm
000A73DC	FSS02_Vigilant	Activity: Always Vigilant	Activity	Defend Rover while he repairs the communications uplink!	Event	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Unique Instance ; Always Tracked ; Saves Completion ; Uses Custom Expire Time ; Not Autotracked ; Kick All Players From Instance on Shutdown	60		20	3	18	DefaultEventQuest ; defaultquestemergencybroadcastscript ; defaultquestencounterwavescript ; DefaultQuestRemovePlayersScript ; DefaultQuestSetStageOnTimerScript ; FSS02_Vigilant_QuestScript	fragments:quests:qf_fss02_vigilant_000a73dc	00631241:QuestReward_FSS02_Vigilant_Stage0_01:GMRW ; 00631242:QuestReward_FSS02_Vigilant_Stage1000_01:GMRW	SeventySix.esm
0010BAE1	MTNS04_Night	Event: One Violent Night	Event	Make a lot of noise to lure a deadly creature and defeat it.	Public Event	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Unique Instance ; Always Tracked ; Saves Completion ; Uses Custom Expire Time ; Not Autotracked	50		10	5	37	DefaultEventQuest ; defaultquestencounterwavescript ; DefaultQuestRemovePlayersScript ; MTNS04QuestScript ; Quests:RA:SpawnBigfootPartyCrasher	Fragments:Quests:QF_MTNS04_Night_0010BAE1	00631291:QuestReward_MTNS04_Night_Stage400_01:GMRW ; 00631292:QuestReward_MTNS04_Night_Stage450_01:GMRW	SeventySix.esm
0010C1E3	TWZ13	Daily: Buried with Honor	Daily	Lay to rest a soldier's remains.	Daily	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Saves Completion ; Can Be Rejected When Active ; Uses Custom Expire Time ; Not Autotracked	61		6	4	11	DefaultDailyQuestScript ; DefaultOnItemAddedScript ; defaultquestemergencybroadcastscript ; defaultquestencounterwavescript ; DefaultQuestRemovePlayersScript	fragments:quests:qf_twz13_0010c1e3	00631335:QuestReward_TWZ13_Stage1000_01:GMRW	SeventySix.esm
0010E200	TW003	Activity: Manhunt	Activity	Help recapture Mad Dog Malone.	Event	Warn on Alias Fill Failed ; Has Dialogue Data ; Unique Instance ; Always Tracked ; Saves Completion ; Uses Custom Expire Time ; Not Autotracked ; Disable Event Announcement ; Kick All Players From Instance on Shutdown	60		6	2	13	DefaultEventQuest ; defaultquestemergencybroadcastscript ; DefaultQuestEMSInterfaceParentScript ; defaultquestencounterwavescript ; DefaultQuestRemovePlayersScript ; tw003_script	fragments:quests:qf_tw003_0010e200	00631315:QuestReward_TW003_Stage200_01:GMRW	SeventySix.esm
001155AF	TWZ03	Daily: Target Rich Environment	Daily	Get new paper targets for the shooting range.	Daily	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Saves Completion ; Can Be Rejected When Active ; Uses Custom Expire Time ; Not Autotracked	60		9	3	13	DefaultDailyQuestScript ; DefaultOnItemAddedScript ; DefaultQuestCleanupItemsOnShutdown ; defaultquestencounterwavescript ; DefaultQuestRemovePlayersScript ; TWZ03_Script	fragments:quests:qf_twz03_001155af	0063132D:QuestReward_TWZ03_Stage1000_01:GMRW ; 0063132E:QuestReward_TWZ03_Stage300_01:GMRW	SeventySix.esm
00116532	CBZ03_Deputy	Daily: Cop a Squatter	Daily	The Watogan Security Chief needs assistance clearing out a location.	Daily	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Saves Completion ; Uses Custom Expire Time ; Not Autotracked	31		4	2	6	DefaultDailyQuestScript ; defaultquestemergencybroadcastscript ; DefaultQuestRemovePlayersScript ; DefaultQuestShowMapMarkerScript ; DefaultQuestShutdownScript ; QuestDebuggerScript	Fragments:Quests:QF_CBZ03_Deputy_00116532	006311C9:QuestReward_CBZ03_Deputy_Stage200_01:GMRW	SeventySix.esm
0011D76B	TW004	Daily: Big Game Hunter	Daily	Hunt down dangerous creatures as trophies.	Daily	Run Once ; Warn on Alias Fill Failed ; Repeats Conditions ; Has Dialogue Data ; Saves Completion ; Can Be Rejected When Active ; Uses Custom Expire Time ; Not Autotracked	60		9	4	15	DefaultDailyQuestScript ; DefaultQuestOnKillManager ; DefaultQuestOnKillManagerB ; DefaultQuestOnKillManagerC ; DefaultQuestRemovePlayersScript ; tw004script	fragments:quests:qf_tw004a_0011d76b	00631316:QuestReward_TW004_Stage1000_01:GMRW ; 00631317:QuestReward_TW004_Stage200_01:GMRW ; 00631318:QuestReward_TW004_Stage300_01:GMRW ; 00631319:QuestReward_TW004_Stage400_01:GMRW	SeventySix.esm
00124487	SFZ04_Waste	Daily: Waste Not	Daily	Find the missing protectrons and bring their power cores back to the station.	Daily	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Saves Completion ; Can Be Rejected When Active ; Uses Custom Expire Time ; Not Autotracked	50		12	3	24	DefaultDailyQuestScript ; defaultquestencounterwavescript ; DefaultQuestRemovePlayersScript ; GQ_MiscRegionPointerCompletionScript ; SFZ04_Waste_QuestScript	Fragments:Quests:QF_SFZ04_Waste_00124487	006312F9:QuestReward_SFZ04_Waste_Stage1000_01:GMRW	SeventySix.esm
0012E67E	MTNM03_Meditation	Event: Guided Meditation	Event	Prevent Discordant Forces from interrupting your Guided Meditation.	Public Event	Allow Repeat Stages ; Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Unique Instance ; Always Tracked ; Saves Completion ; Uses Custom Expire Time	60		19	10	20	DefaultEventQuest ; defaultquestencounterwavescript ; DefaultQuestSetStageOnTimerScript ; MTNM03_Meditation_QuestScript ; Quests:RA:SpawnPartyCrasher	Fragments:Quests:QF_MTNM03_Meditation_0012E67E	00631289:QuestReward_MTNM03_Meditation_Stage255_01:GMRW	SeventySix.esm
00137931	LC129_TrickOrTreat	Daily: Trick or Treat?	Daily	Gather pumpkins to trade for radioactive seeds.	Daily	Run Once ; Has Dialogue Data ; Saves Completion ; Can Be Rejected When Active ; Uses Custom Expire Time ; Not Autotracked	50		6	3	5	DefaultDailyQuestScript ; DefaultQuestRemovePlayersScript ; Quests:LC129:PumpkinQuestScript	Fragments:Quests:QF_LC129_Pumpkin_Grenade_Que_00137931	00631257:QuestReward_LC129_TrickOrTreat_Stage600_01:GMRW	SeventySix.esm
0015B1E2	TWZ11	Daily: Pass the Buck	Daily	Clean up the lake.	Daily	Run Once ; Warn on Alias Fill Failed ; Repeats Conditions ; Has Dialogue Data ; Saves Completion ; Can Be Rejected When Active ; Uses Custom Expire Time ; Not Autotracked	60		13	5	19	DefaultDailyQuestScript ; defaultquestemergencybroadcastscript ; DefaultQuestRemovePlayersScript ; TWZ11_Script	fragments:quests:qf_twz11_0015b1e2	00631334:QuestReward_TWZ11_Stage1000_01:GMRW	SeventySix.esm
0015D682	RS02_Beat	Activity: Back on the Beat	Activity	Defend Steelheart as he patrols the streets of Morgantown.	Event	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Unique Instance ; Always Tracked ; Saves Completion ; Uses Custom Expire Time ; Not Autotracked ; Kick All Players From Instance on Shutdown	60		28	8	58	DefaultEventQuest ; defaultgamedayspassedglobalsscript ; defaultquestemergencybroadcastscript ; defaultquestencounterwavescript ; DefaultQuestRemovePlayersScript ; DefaultQuestSetStageOnTimerScript ; Quests:RS02:Beat	fragments:quests:qf_rs02_beat_0015d682	006312DF:QuestReward_RS02_Beat_Stage1000_01:GMRW ; 006312E0:QuestReward_RS02_Beat_Stage1401_01:GMRW ; 006312E1:QuestReward_RS02_Beat_Stage5000_01:GMRW ; 006312E2:QuestReward_RS02_Beat_Stage600_01:GMRW	SeventySix.esm
00186DEE	GQ_Swarm	Event: <Alias.Race=SwarmName> Swarm	Event	Beware - <Alias.RacePlural=SwarmName> are swarming!	Miscellaneous	Run Once ; Has Dialogue Data ; Always Tracked ; Not Autotracked	50		11	6	34	defaultquestencounterwavescript ; DefaultQuestRemovePlayersScript ; gq_swarmscript	Fragments:Quests:QF_GQ_Swarm_00186DEE		SeventySix.esm
00187531	FFZ10_Light	Event: The Path to Enlightenment	Event	Summon the Wise Mothman by lighting the lighthouse lamp.	Public Event	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Unique Instance ; Always Tracked ; Saves Completion ; Uses Custom Expire Time ; Not Autotracked	60		12	4	18	DefaultEventQuest ; defaultgamedayspassedglobalsscript ; defaultquestemergencybroadcastscript ; defaultquestencounterwavescript ; DefaultQuestRemovePlayersScript ; DefaultQuestSetStageOnTimerScript ; DefaultSimpleRespawnScript ; FFZ10_Light_QuestScript ; TutorialEventQuestScript	Fragments:Quests:QF_FFZ10_Light_00187531	0063122F:QuestReward_FFZ10_Light_Stage200_01:GMRW	SeventySix.esm
0018C91A	SFS02_Play	Daily: Play Time	Daily	It's your designated play time! Be good and do as your nanny says.	Daily	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Saves Completion ; Can Be Rejected When Active ; Uses Custom Expire Time ; Not Autotracked	50		26	10	26	DefaultDailyQuestScript ; defaultquestencounterwavescript ; DefaultQuestRemovePlayersScript ; GQ_MiscRegionPointerCompletionScript ; SFS02_Play_QuestScript	Fragments:Quests:QF_SFS02_Play_0018C91A	006312F5:QuestReward_SFS02_Play_Stage1000_01:GMRW	SeventySix.esm
001ED40A	MTR04_Employee	Daily: Mistaken Identity	Daily	Join the fun at Camden Park as a member of Mr. Fuzzy's crew	Daily	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Saves Completion ; Can Be Rejected When Active ; Uses Custom Expire Time ; Not Autotracked	50		14	9	13	DefaultQuestRemovePlayersScript ; mtr04_gamescomplete ; OBSOLETEQuestCleanupItemsOnShutdown	Fragments:Quests:QF_MTR04_Games_001ED40A	0063129F:QuestReward_MTR04_Employee_Stage2000_01:GMRW	SeventySix.esm
